NAME,AMI,GEN,TOB,KAN,MET,PEN,VAN,TEC,CLI,ERY,MUP,LNZ,TCY,TMP,DAP,RIF,CIP,MFX
USFL178,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL204,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL294,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL201,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL147,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL296,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL322,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL339,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL068,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL360,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
